step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
334,0.16221,0.94012,,
335,0.41699,0.8731,,
336,0.10951,0.97692,,
337,0.03844,0.98734,,
338,0.15304,0.96364,,
339,0.46873,0.87709,,
340,0.25793,0.93659,,
341,0.35281,0.89032,,
342,0.02645,0.98113,,
343,0.44049,0.8481,,
344,0.12727,0.95302,,
345,0.55906,0.81215,,
